YEAR;MOTH;T-001 P.N.H;N-002 P.N.H;E-003 P.N.H;T-001 CHA.HUA;N-002 CHA.HUA;E-003 CHA.HUA;T-001 WILC;N-002 WILC;E-003 WILC;T-001 MAX-HUL;N-002 MAX-HUL;E-003 MAX-HUL;T-001 MUSEO HUARAZ;N-002 MUSEO HUARAZ;E-003 MUSEO HUARAZ;TOTAL
2015;ENERO;14771;12683;2088;4778;4246;532;832;785;47;1554;1378;176;849;802;47;45568
2015;FEBRERO;13614;11886;1728;3430;3065;365;785;712;73;1279;1146;133;562;530;32;39340
2015;MARZO;7283;5058;2225;2125;1681;444;457;393;64;643;541;102;423;365;58;21862
2015;ABRIL;22598;19167;3431;4806;4251;555;918;825;93;1114;1016;98;715;681;34;60302
2015;MAYO;20074;15486;4588;4633;3793;840;787;611;176;851;740;111;636;584;52;53962
2015;JUNIO;19487;14070;5417;5224;4412;812;1029;874;155;1668;1492;176;683;599;84;56182
2015;JULIO;43967;36945;7022;14562;13419;1143;2213;1985;228;3714;3522;192;1746;1628;118;132404
2015;AGOSTO;36159;29707;6452;12907;11766;1141;1592;1327;265;2465;2257;208;2253;2223;30;110752
2015;SETIEMBRE;23663;18156;5507;8407;7085;1322;1289;1122;167;3854;3682;172;1176;1102;74;76778
2015;OCTUBRE;27707;23461;4246;11497;10462;1035;1054;939;115;3797;3657;140;1352;1301;51;90814
2015;NOVIEMBRE;10737;7204;3533;4597;3960;637;728;621;107;1112;1025;87;751;708;43;35850
2015;DICIEMBRE;9100;6366;2734;3092;2777;315;589;495;94;927;786;141;522;466;56;28460
2016;ENERO;15922;12444;3478;5247;4646;601;875;774;101;1263;1171;92;799;799;60;48272
2016;FEBRERO;14503;11535;2968;4426;4034;392;989;921;68;1041;972;69;793;793;118;43622
2016;MARZO;24378;20271;4107;5937;5455;482;913;807;106;1192;1110;82;819;819;49;66527
2016;ABRIL;8980;4507;4473;2280;1780;500;449;369;80;471;366;105;513;513;34;25420
2016;MAYO;15191;8867;6324;4345;3597;748;984;764;220;1030;924;106;825;825;146;44896
2016;JUNIO;15984;7990;7994;3946;3271;675;1679;1483;196;2172;2025;147;768;768;137;49235
2016;JULIO;50777;42171;8606;20758;19651;1107;2393;2122;271;3711;3577;134;1813;1813;112;159016
2016;AGOSTO;33997;25403;8594;14166;13182;984;1603;1455;148;2058;1900;158;1092;1092;60;105892
2016;SETIEMBRE;18082;11736;6346;7255;6512;743;1846;1711;135;4723;4610;113;1135;1135;72;66154
2016;OCTUBRE;26734;21568;5166;11192;10363;829;1161;1032;129;4862;4738;124;1684;1684;83;91349
2016;NOVIEMBRE;25284;20680;4604;8998;8402;596;1485;1354;131;2980;2822;158;1214;1214;74;79996
2016;DICIEMBRE;11319;7715;3604;4153;3916;237;770;636;134;947;879;68;626;626;47;35677
