P.N.H(PAQ-001);T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003;T-001;N-002;E-003
ENERO;14771;12683;2088;15922;12444;3478;19938;15361;4577;21879;17639;4240;28105;23783;4322;26323;21524;4799;14954;14782;172;26358;16587;9771;11192;9679;1513
FEBRERO;13614;11886;1728;14503;11535;2968;13840;10392;3448;20300;16158;4142;19901;15325;4576;28054;23633;4421;0;0;0;13687;12630;1057;11610;10931;679
MARZO;7283;5058;2225;24378;20271;4107;6314;4384;1930;33191;28305;4886;15531;10585;4946;11347;9965;1382;4263;4233;30;8952;7505;1447;5880;5257;623
ABRIL;22598;19167;3431;8980;4507;4473;15788;12110;3678;15658;6109;9549;42036;34853;7183;0;0;0;5077;4962;115;20610;18250;2360;18274;16486;1788
MAYO;20074;15486;4588;15191;8867;6324;18098;10457;7641;21736;12926;8810;26445;17714;8731;0;0;0;12056;11801;255;18747;14689;4058;8903;6386;2517
JUNIO;19487;14070;5417;15984;7990;7994;19365;10981;8384;22499;12993;9506;28193;15699;12494;0;0;0;13538;12987;551;14768;10345;4423;14599;11173;3426
JULIO;43967;36945;7022;50777;42171;8606;62179;50933;11246;58510;46151;12359;69091;57815;11276;0;0;0;45273;44394;879;39131;33118;6013;33132;30415;2717
AGOSTO;36159;29707;6452;33997;25403;8594;50079;36408;13671;63933;52622;11311;63116;53862;9254;0;0;0;54824;51973;2851;36345;30568;5777;31522;26706;4816
SETIEMBRE;23663;18156;5507;18082;11736;6346;20523;13419;7104;37522;27930;9592;33009;25038;7971;0;0;0;19445;17599;1846;20629;14844;5785;14757;10990;3767
OCTUBRE;27707;23461;4246;26734;21568;5166;22612;16165;6447;30123;22784;7339;33607;30140;3467;7546;6339;1207;29054;27140;1914;22010;17205;4805;19489;15557;3932
NOVIEMBRE;10737;7204;3533;25284;20680;4604;20016;6622;13394;29405;23847;5558;29080;24617;4463;15940;15833;107;14887;13269;1618;13978;10911;3067;15182;11469;3713
DICIEMBRE;9100;6366;2734;11319;7715;3604;14617;10364;4253;23684;14647;9037;17474;12856;4618;9753;9517;236;8736;7933;803;9856;8164;1692;13046;11422;1624
TOTAL;249160;200189;48971;261151;194887;66264;283369;197596;85773;378440;282111;96329;405588;322287;83301;98963;86811;12152;222107;211073;11034;245071;194816;50255;197586;166471;31115
